Distance,Slice,Total_KJG,Total_PMA,Other,Pharynx,Reproductive,Body_wall,Cuticle,Intestine,Excretory_nervous,total_lateralcord,lateral_cord,Pharynx_PMA,Reproductive_PMA,Body_wall_PMA,Cuticle_PMA,Intestine_PMA,total_lateralcord_PMA,Bad
24,3,2,0,2,,,,,,,,,,,,,,,
32,4,0,0,,,,,,,,,,,,,,,,
40,5,1,1,1,,,,,,,,,,,1,,,,
48,6,0,0,,,,,,,,,,,,,,,,
56,7,0,0,,,,,,,,,,,,,,,,
64,8,1,0,,,,,1,,,,,,,,,,,
72,9,1,1,,,,1,,,,,,,,1,,,,
80,10,3,1,0,,,1,2,,,,,,,,1,,,
88,11,0,0,,,,,,,,,,,,,,,,
96,12,1,0,,,,,1,,,,,,,,,,,
104,13,0,0,,,,,,,,,,,,,,,,T
112,14,0,0,,,,,,,,,,,,,,,,T
120,15,1,1,1,,,,,,,,,,,,,,,
128,16,3,0,,1,,2,,,,,,,,,,,,
136,17,0,0,,,,,,,,,,,,,,,,
144,18,0,0,,,,,,,,,,,,,,,,
152,19,6,5,3,3,,,,,,,,2,,2,,,,
160,20,4,3,4,,,,,,,,,,,,,,,T
168,21,0,0,,,,,,,,,,,,,,,,T
176,22,5,5,4,,,,,,,1,1,,,,,,1,
184,23,4,0,,,,4,,,,,,,,,,,,
192,24,5,3,,3,,,1,,,1,1L,,,,,,,
200,25,5,5,1,,,4,,,,,,,,4,,,,
208,26,3,3,3,,,,,,,,,,,,,,,
216,27,3,1,,,,,3,,,,,,,,,,,T
224,28,5,1,,3,,,2,,,,,,,,1,,,
240,30,6,4,5,,,,1,,,,,,,,,,,
248,31,4,0,,,,2,2,,,,,,,,,,,T
256,32,2,2,,,,2,,,,,,,,2,,,,
264,33,2,1,1,,,1,,,,,,,,,,,,
272,34,0,11,,,,,,,,,,,,,3,,,T
280,35,4,3,3,,,1,,,,,,,,1,,,,
288,36,3,1,1,,,2,,,,,,,,,,,,T
296,37,6,7,2,3,,1,,,,,,,,1,,,,T
304,38,6,5,5,,,,,,1,,,,,,,,3,
312,39,12,6,3,,,3,,,,6,3L_3R,,,,,,4,
320,40,21,4,5,3,,,13,,,,,,,,,,2,
328,41,10,4,,1,,4,1,,4,,,,,,,,1,
336,42,4,1,,,,4,,,,,,,,,,,1,
344,43,4,3,,,,3,1,,,,,,,,,,3,
352,44,7,2,,,,4,,,3,,,,,,,,2,
368,46,4,1,2,,,2,,,,,,,,,,,1,
376,47,10,9,,,,,,,,10,9L_1R,,,,,,9,
384,48,6,5,1,,,,,,,6,3R_3L,,,,,,5,
392,49,14,14,,,,1,1,,,12,3L_9R,,,1,1,,12,
400,50,4,5,,,,,,,,4,1L_3R,,,,,,5,
408,51,10,7,3,,,2,1,,3,1,1R,,,,,,7,
416,52,7,6,,2,,4,1,,,,,2,,2,,,2,
424,53,8,2,,,,2,,,2,4,2L_2R,,,,,,2,
432,54,4,2,,,,4,,,,,,,,1,,,,
440,55,3,3,,,,,3,,,1,1L,,,,,,3,
448,56,3,2,,,,3,,,,,,,,,,,2,
456,57,2,0,,,,2,,,,,,,,,,,,
464,58,5,4,,,,5,,,,,,,,,,,4,T
472,59,5,5,,,,2,,,,3,3L,,,1,,,4,
480,60,4,3,,,,3,1,,,,,,,1,,,2,
488,61,0,0,,,,,,,,,,,,,,,,T
496,62,4,4,,1,,,2,,,1,1R,1,,,2,,1,
504,63,5,2,,,,,1,,2,2,1L_1R,,,,1,,1,
512,64,5,3,,1,,2,,,,2,1L_1R,1,,1,,,1,
520,65,5,4,,4,,,,,,1,1R,3,,,,,1,
528,66,7,5,,2,,1,,,,4,4R,2,,,,,3,T
536,67,5,5,,1,,,,,,4,2L_2R,1,,,,,4,
544,68,0,0,,,,,,,,,,,,,,,,T
552,69,7,1,,1,,,,,,6,5L_1R,,,,,,1,
560,70,10,6,,5,,,,,,5,5R,3,,,,,3,
568,71,4,2,,,,,1,,,3,1L_2R,,,,,,2,
576,72,6,4,,2,,,,,,4,3L_1R,2,,,,,2,
584,73,21,6,,,,15,3,,,3,1L_2R,,,,2,,2,
592,74,,3,,,,,,,,,,,,,2,,,T
600,75,4,5,,,,,1,,,3,3R,,,,1,,2,
608,76,4,2,,,,1,,,,3,3R,,,1,,,1,
616,77,2,2,,,,,2,,,,,,,,2,,,
624,78,0,0,,,,,,,,,,,,,,,,T
632,79,2,2,,,,,,,,2,2L,,,,,,2,
640,80,0,4,,,,,,,,,,,,,3,,1,T
648,81,9,4,,2,,3,,,,4,1L_3R,,,1,,,3,
656,82,0,1,,,,,,,,,,,,1,,,,T
664,83,5,0,1,1,,,2,,,1,1R,,,,,,,
672,84,6,1,,,,,2,,,4,2L_2R,,,,,,1,
680,85,6,3,,,,2,4,,,,,,,,3,,,T
688,86,7,3,,,,4,,,,3,2L_1R,,,,,,3,T
696,87,8,7,,1,,2,2,,,3,2L_1R,1,,1,,,2,
704,88,10,5,,,3,5,,,,2,2R,,4,,,,1,
712,89,9,3,,1,5,,3,,,,,,3,,,,,
720,90,0,3,,,4,,,,,,,,3,,,,,T
728,91,3,13,,3,8,2,,,,1,1L,1,9,1,,,1,
736,92,13,10,,3,7,,2,,,1,1L,3,6,,,,1,
744,93,10,10,,,7,,2,,,1,1R,,9,,,,1,
752,94,6,4,,1,5,,,,,,,,4,,,,,
760,95,0,3,,,,,,,,,,,3,,,,,T
768,96,6,11,,3,11,,,,,1,1L,2,9,,,,,
776,97,9,6,,,6,,3,,,,,,6,,,,,
784,98,19,6,,1,12,2,,,,4,3L_1R,,6,,,,,
792,99,23,12,,2,14,,7,,,,,2,10,,,,,
800,100,10,5,,,4,3,1,,,2,1L_1R,,3,,2,,,
808,101,7,7,,1,1,3,1,,,1,1R,2,,3,2,,,
816,102,0,3,,,,,,,,,,,,,3,,,T
824,103,11,9,,,7,2,,,,2,2R,,6,1,,,1,
832,104,16,10,,4,10,,1,,,1,1L,4,6,,,,,
840,105,15,13,,,11,,,,,4,2L_2R,,10,,,,3,
848,106,14,11,,3,6,5,,,,,,2,6,1,,,2,
856,107,8,5,,,3,,,,,5,4L_1R,,3,,,,2,
864,108,14,8,,7,2,2,1,,,2,1L_1R,6,1,,,,1,
872,109,10,3,,2,2,6,,,,,,1,2,,,,,
880,110,13,20,,3,10,,,,,,,3,10,5,,,2,
888,111,18,20,,1,9,4,,,,4,1L_3R,,9,5,3,,2,
896,112,35,29,,2,8,19,6,,,,,2,9,6,8,,4,
904,113,20,12,,3,6,4,,,,7,1L_6R,3,5,,2,,2,
912,114,10,9,,5,5,,,,,,,6,2,,,,1,
920,115,0,0,,,,,,,,,,,,,,,,T
928,116,16,14,,4,5,3,,,,4,2L_2R,2,6,3,2,,1,
936,117,9,5,,1,1,,2,,,5,3L_2R,,1,,1,,3,
944,118,6,0,,2,2,,1,,,1,1L,,,,,,,
952,119,20,15,,5,8,,6,,,1,1R,5,8,,1,,,
960,120,15,18,,1,3,2,9,,,,,1,6,,8,,3,
968,121,13,12,,7,4,,,,,2,1L_1R,6,4,1,,,1,
976,122,22,14,,5,8,1,7,,,1,1L,5,7,,1,,1,
984,123,8,8,,2,4,,,,,2,2L,2,3,,1,,2,
992,124,12,8,,2,7,3,,,,,,2,5,1,,,,
1000,125,10,10,,2,5,,,,,3,1L_2R,2,5,,2,,1,
1008,126,11,5,,,3,1,1,6,,,,,1,,,,,
1016,127,20,16,,,4,1,,12,,3,3R,,4,,,,,
1024,128,27,25,,,5,,,17,,5,2L_3R,,5,,,,3,
1032,129,20,11,,,7,,,10,,3,1L_2R,,4,,,,1,
1040,130,,14,,,,,,,,,,,5,,,,,T
1048,131,,0,,,,,,,,,,,,,,,,T
1056,132,2,1,,,,,,,,2,1L_1R,,,,1,,,
1064,133,,0,,,,,,,,,,,,,,,,T
1072,134,2,0,,,,,2,,,,,,,,,,,
1080,135,2,2,2,,,,,,,,,,,,,,,
1088,136,4,1,,,1,2,1,,,,,,,1,,,,
1096,137,,3,,,,,,,,,,,,,3,,,T
1104,138,10,0,,,,4,4,,,2,1L_1R,,,,,,2,T
1112,139,23,15,,,7,,2,6,,8,4L_4R,,5,,1,7,2,
1120,140,,12,,,,,,,,,,,5,,,7,,T
1128,141,20,12,,,7,,,6,,7,4L_3,,7,,,5,,
1136,142,11,11,,,3,,,6,,2,1L_1R,,4,,,6,1,
1144,143,25,15,,,4,2,7,11,,1,1L,,3,1,,10,1,
1152,144,14,12,,,4,1,2,7,,,,,4,1,1,6,,
